RUN	simulations.ET_Simulation	et-simulation	1664979869646	 	3.3.1
USER	ETCreateClaim	1	START	1664979871405	1664979871405
REQUEST	1	ET_010_Home	ET_010_005_Home	1664979871435	1664979872002	OK	 
GROUP	1	ET_010_Home	1664979871420	1664979873089	1548	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1664979876677	1664979876830	OK	 
GROUP	1	ET_020_Start	1664979876658	1664979877241	489	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1664979879702	1664979879857	OK	 
GROUP	1	ET_030_Before_You_Continue	1664979879693	1664979880307	543	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1664979884260	1664979884394	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1664979884409	1664979885883	OK	 
GROUP	1	ET_040_Work_Postcode	1664979884222	1664979887073	2753	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1664979890708	1664979890849	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1664979890854	1664979890998	OK	 
GROUP	1	ET_050_Claim_Yourself	1664979890702	1664979891159	404	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1664979893388	1664979893505	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1664979893511	1664979893673	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1664979893383	1664979893892	487	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1664979896154	1664979896288	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1664979896294	1664979896419	OK	 
GROUP	1	ET_070_ACAS_Certificate	1664979896146	1664979896824	647	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1664979899463	1664979899609	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1664979899617	1664979899728	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1664979899737	1664979899852	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1664979899858	1664979900300	OK	 
GROUP	1	ET_080_Representative	1664979899450	1664979901090	1505	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1664979903988	1664979904834	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1664979904846	1664979912678	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1664979912691	1664979913385	OK	 
GROUP	1	ET_090_Log_In	1664979903963	1664979913829	9796	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1664979917058	1664979917190	OK	 
GROUP	1	ET_100_One_Go	1664979917052	1664979917767	694	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1664979921236	1664979921372	OK	 
GROUP	1	ET_110_Personal_Details	1664979921232	1664979921945	701	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1664979924789	1664979925264	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1664979925279	1664979925449	OK	 
GROUP	1	ET_120_DoB	1664979924783	1664979926019	1197	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1664979929269	1664979929386	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1664979929393	1664979929558	OK	 
GROUP	1	ET_130_Sex	1664979929262	1664979929925	619	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1664979933807	1664979934491	OK	 
GROUP	1	ET_140_Your_Address_LookUp	1664979933800	1664979934502	684	OK
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select	1664979937095	1664979937226	OK	 
REQUEST	1	ET_145_Your_Address_Select	ET_145_005_Your_Address_Select Redirect 1	1664979937231	1664979937381	OK	 
GROUP	1	ET_145_Your_Address_Select	1664979937092	1664979937997	873	OK
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number	1664979940456	1664979940606	OK	 
REQUEST	1	ET_150_Telephone_Number	ET_150_005_Telephone_Number Redirect 1	1664979940612	1664979940755	OK	 
GROUP	1	ET_150_Telephone_Number	1664979940452	1664979941191	710	OK
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method	1664979943196	1664979943391	OK	 
REQUEST	1	ET_160_Contact_Method	ET_160_005_Contact_Method Redirect 1	1664979943405	1664979943611	OK	 
GROUP	1	ET_160_Contact_Method	1664979943193	1664979944086	845	OK
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation	1664979947806	1664979947911	OK	 
REQUEST	1	ET_170_Hearing_Participation	ET_170_005_Hearing_Participation Redirect 1	1664979947914	1664979948040	OK	 
GROUP	1	ET_170_Hearing_Participation	1664979947793	1664979948595	769	OK
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support	1664979951016	1664979951139	OK	 
REQUEST	1	ET_180_Need_Support	ET_180_005_Need_Support Redirect 1	1664979951143	1664979951298	OK	 
GROUP	1	ET_180_Need_Support	1664979951002	1664979951972	933	OK
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed	1664979954564	1664979954700	OK	 
REQUEST	1	ET_190_Contact_Completed	ET_190_005_Contact_Completed Redirect 1	1664979954705	1664979954970	OK	 
GROUP	1	ET_190_Contact_Completed	1664979954560	1664979955180	596	OK
REQUEST	1	ET_200_Employment_Status	ET_200_005_Employment_Status	1664979957995	1664979958167	OK	 
GROUP	1	ET_200_Employment_Status	1664979957993	1664979958865	830	OK
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation	1664979961726	1664979961822	OK	 
REQUEST	1	ET_210_Work_For_Org	ET_210_005_Work_For_Organisation Redirect 1	1664979961825	1664979961980	OK	 
GROUP	1	ET_210_Work_For_Org	1664979961722	1664979962458	701	OK
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org	1664979965249	1664979965351	OK	 
REQUEST	1	ET_220_Still_Work_For_Org	ET_220_005_Still_Work_For_Org Redirect 1	1664979965355	1664979965464	OK	 
GROUP	1	ET_220_Still_Work_For_Org	1664979965242	1664979965703	428	OK
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details	1664979968539	1664979968672	OK	 
REQUEST	1	ET_230_Employment_Details	ET_230_005_Employment_Details Redirect 1	1664979968685	1664979968848	OK	 
GROUP	1	ET_230_Employment_Details	1664979968532	1664979969340	761	OK
REQUEST	1	ET_240_Start_Date	ET_240_005_Start_Date	1664979971744	1664979971905	OK	 
REQUEST	1	ET_240_Start_Date	ET_240_005_Start_Date Redirect 1	1664979971910	1664979972184	OK	 
GROUP	1	ET_240_Start_Date	1664979971733	1664979973136	1369	OK
REQUEST	1	ET_250_Notice_End	ET_250_005_Notice_End	1664979976805	1664979976935	OK	 
