RUN	simulations.ET_Simulation	et-simulation	1665654345232	 	3.3.1
USER	ETCreateClaim	1	START	1665654345966	1665654345966
REQUEST	1	ET_010_Home	ET_010_005_Home	1665654345997	1665654346163	OK	 
GROUP	1	ET_010_Home	1665654345975	1665654346568	451	OK
REQUEST	1	ET_020_Start	ET_020_005_Start	1665654350719	1665654350800	OK	 
GROUP	1	ET_020_Start	1665654350714	1665654350901	156	OK
REQUEST	1	ET_030_Before_You_Continue	ET_030_005_Before_You_Continue	1665654355944	1665654356066	OK	 
GROUP	1	ET_030_Before_You_Continue	1665654355941	1665654356378	200	OK
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode	1665654362043	1665654362106	OK	 
REQUEST	1	ET_040_Work_Postcode	ET_040_005_Work_Postcode Redirect 1	1665654362117	1665654362172	OK	 
GROUP	1	ET_040_Work_Postcode	1665654362010	1665654362585	489	OK
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself	1665654367100	1665654367170	OK	 
REQUEST	1	ET_050_Claim_Yourself	ET_050_005_Claim_Yourself Redirect 1	1665654367173	1665654367253	OK	 
GROUP	1	ET_050_Claim_Yourself	1665654367091	1665654367353	215	OK
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others	1665654374286	1665654374350	OK	 
REQUEST	1	ET_060_Claim_Own_Or_Others	ET_060_005_Claim_Own_Or_Others Redirect 1	1665654374358	1665654374428	OK	 
GROUP	1	ET_060_Claim_Own_Or_Others	1665654374274	1665654374548	235	OK
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate	1665654378650	1665654378696	OK	 
REQUEST	1	ET_070_ACAS_Certificate	ET_070_005_ACAS_Certificate Redirect 1	1665654378706	1665654378783	OK	 
GROUP	1	ET_070_ACAS_Certificate	1665654378642	1665654378895	217	OK
REQUEST	1	ET_080_Representative	ET_080_005_Representative	1665654384867	1665654384933	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 1	1665654384937	1665654384976	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 2	1665654384978	1665654385074	OK	 
REQUEST	1	ET_080_Representative	ET_080_005_Representative Redirect 3	1665654385078	1665654385235	OK	 
GROUP	1	ET_080_Representative	1665654384860	1665654385504	562	OK
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In	1665654391936	1665654392088	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 1	1665654392092	1665654394390	OK	 
REQUEST	1	ET_090_Log_In	ET_090_005_Log_In Redirect 2	1665654394396	1665654394446	OK	 
GROUP	1	ET_090_Log_In	1665654391932	1665654394541	2587	OK
REQUEST	1	ET_100_One_Go	ET_100_005_One_Go	1665654398746	1665654398815	OK	 
GROUP	1	ET_100_One_Go	1665654398740	1665654398929	176	OK
REQUEST	1	ET_110_Personal_Details	ET_110_005_Personal_Details	1665654403845	1665654403921	OK	 
GROUP	1	ET_110_Personal_Details	1665654403842	1665654404012	160	OK
REQUEST	1	ET_120_DoB	ET_120_005_DoB	1665654408670	1665654408720	OK	 
REQUEST	1	ET_120_DoB	ET_120_005_DoB Redirect 1	1665654408723	1665654408774	OK	 
GROUP	1	ET_120_DoB	1665654408662	1665654408868	179	OK
REQUEST	1	ET_130_Sex	ET_130_005_Sex	1665654413705	1665654413750	OK	 
REQUEST	1	ET_130_Sex	ET_130_005_Sex Redirect 1	1665654413758	1665654413819	OK	 
GROUP	1	ET_130_Sex	1665654413700	1665654413936	210	OK
REQUEST	1	ET_140_Your_Address_LookUp	XUI_Common_000_PostcodeLookup	1665654419943	1665654420597	KO	regex("(street1)_.+" : "(.+?)",(?s).*?"(?:street2)" : "(.+?)",.*?"town" : "(.+?)",.*?"country" : "(.+?)").findRandom.exists, found nothing
GROUP	1	ET_140_Your_Address_LookUp	1665654419941	1665654420641	654	KO
USER	ETCreateClaim	1	END	1665654345966	1665654420650
